epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1270.47,0.65256,0.58809,1.09781,0.83482,0.64005,0.66765,0.52702,0.73935,0.70004,1.20389,0.000660045,0.000660045,0.000660045
43,1300.88,0.66631,0.61869,1.1019,0.86093,0.61956,0.66123,0.51228,0.7493,0.70217,1.21381,0.000649046,0.000649046,0.000649046
44,1333.02,0.62081,0.56788,1.06806,0.8621,0.63605,0.6728,0.53519,0.70711,0.69665,1.19364,0.000638047,0.000638047,0.000638047
45,1362.85,0.65444,0.57606,1.09492,0.84854,0.62448,0.65706,0.50793,0.72591,0.70316,1.19308,0.000627048,0.000627048,0.000627048
46,1392.89,0.6467,0.58738,1.09079,0.88251,0.59763,0.65174,0.51206,0.74458,0.70211,1.23334,0.000616049,0.000616049,0.000616049
47,1422.65,0.63389,0.57214,1.07807,0.85705,0.61338,0.6668,0.52142,0.70529,0.68759,1.19977,0.000605051,0.000605051,0.000605051
48,1452.36,0.62132,0.56616,1.07847,0.89592,0.61403,0.66837,0.52822,0.71099,0.67118,1.21167,0.000594052,0.000594052,0.000594052
49,1482.32,0.62527,0.55951,1.07692,0.83015,0.63243,0.65711,0.51938,0.72079,0.70307,1.22434,0.000583053,0.000583053,0.000583053
50,1512.13,0.62522,0.55305,1.07844,0.85838,0.63331,0.66726,0.524,0.72393,0.70607,1.22867,0.000572054,0.000572054,0.000572054
51,1543.65,0.60984,0.56257,1.074,0.83776,0.6428,0.66465,0.53324,0.70963,0.67174,1.19339,0.000561055,0.000561055,0.000561055
52,1573.22,0.61523,0.54908,1.07319,0.88237,0.63582,0.67688,0.52792,0.75231,0.69361,1.24965,0.000550056,0.000550056,0.000550056
53,1602.69,0.59382,0.52185,1.06127,0.61222,0.61818,0.64295,0.51421,0.71165,0.7385,1.20239,0.000539057,0.000539057,0.000539057
54,1632.45,0.5935,0.51583,1.05699,0.87835,0.63029,0.66891,0.53503,0.73224,0.68923,1.23226,0.000528058,0.000528058,0.000528058
55,1662.52,0.6088,0.53414,1.07536,0.88256,0.63728,0.6697,0.53373,0.72278,0.66581,1.23572,0.000517059,0.000517059,0.000517059
56,1693.84,0.59048,0.51167,1.05853,0.91173,0.61014,0.67651,0.5434,0.70513,0.63158,1.20313,0.00050606,0.00050606,0.00050606
57,1724.32,0.59,0.51888,1.0517,0.61985,0.63496,0.65091,0.52154,0.71021,0.65183,1.19147,0.000495062,0.000495062,0.000495062
58,1757.62,0.59123,0.50331,1.05535,0.84274,0.62931,0.65783,0.52971,0.72189,0.69378,1.21566,0.000484063,0.000484063,0.000484063
59,1787.49,0.57066,0.515,1.05214,0.63626,0.63319,0.64755,0.52213,0.71369,0.6941,1.21192,0.000473064,0.000473064,0.000473064
60,1817.33,0.55582,0.49349,1.04345,0.87279,0.61545,0.66502,0.52721,0.71907,0.6838,1.2292,0.000462065,0.000462065,0.000462065
61,1847.72,0.601,0.52438,1.06399,0.62328,0.62962,0.64605,0.51988,0.6889,0.67855,1.16727,0.000451066,0.000451066,0.000451066
62,1879.39,0.57428,0.48794,1.05815,0.6398,0.63579,0.66315,0.52712,0.71506,0.68375,1.1952,0.000440067,0.000440067,0.000440067
63,1909.46,0.58875,0.52438,1.05698,0.85754,0.6047,0.65015,0.5302,0.7048,0.70307,1.1983,0.000429068,0.000429068,0.000429068
64,1941.71,0.56186,0.4941,1.0438,0.88638,0.6261,0.65703,0.535,0.72282,0.66875,1.22173,0.000418069,0.000418069,0.000418069
65,1973.37,0.55932,0.48878,1.04211,0.85104,0.62594,0.65635,0.53723,0.69027,0.70204,1.19858,0.00040707,0.00040707,0.00040707
66,2005.15,0.55214,0.49056,1.04657,0.84155,0.64803,0.66482,0.53366,0.67453,0.657,1.19797,0.000396071,0.000396071,0.000396071
67,2034.9,0.56341,0.48115,1.05275,0.87737,0.64558,0.66389,0.53807,0.69947,0.66823,1.19803,0.000385073,0.000385073,0.000385073
68,2064.54,0.54959,0.47639,1.03335,0.70547,0.62387,0.66502,0.52509,0.69298,0.66622,1.19268,0.000374074,0.000374074,0.000374074
69,2094.45,0.54975,0.4611,1.04437,0.87918,0.62756,0.67109,0.54904,0.66656,0.67797,1.16464,0.000363075,0.000363075,0.000363075
70,2124.13,0.55715,0.46756,1.04006,0.83338,0.64353,0.66028,0.54536,0.67701,0.67077,1.17174,0.000352076,0.000352076,0.000352076
71,2155.49,0.54313,0.46658,1.04258,0.87293,0.64987,0.67103,0.54021,0.70211,0.62394,1.18778,0.000341077,0.000341077,0.000341077
72,2185.56,0.55634,0.45681,1.04719,0.88562,0.62916,0.66197,0.53365,0.69124,0.66222,1.18635,0.000330078,0.000330078,0.000330078
73,2215.89,0.54204,0.45767,1.03793,0.85824,0.62478,0.65455,0.53088,0.68047,0.69916,1.19186,0.000319079,0.000319079,0.000319079
74,2245.76,0.51183,0.42863,1.01851,0.83801,0.62899,0.65069,0.52954,0.68479,0.67082,1.18995,0.00030808,0.00030808,0.00030808
75,2275.22,0.53371,0.44194,1.01973,0.88744,0.61984,0.66236,0.53628,0.69886,0.66036,1.20765,0.000297081,0.000297081,0.000297081
76,2304.89,0.53307,0.43882,1.03185,0.6644,0.62667,0.65578,0.53435,0.69415,0.66764,1.1991,0.000286083,0.000286083,0.000286083
